stock_code,stock_name,total_appearances,first_appear_date,last_appear_date,days_since_last,avg_net_buy_ratio,max_net_buy_ratio,positive_net_ratio,total_net_amount,avg_net_amount,total_buy_amount,avg_net_buy_rank,best_net_buy_rank,three_day_ratio,avg_change_pct,max_change_pct,last_market_cap,last_close_price,main_themes,limit_up_list_ratio,last_list_reason,avg_gap_days,max_gap_days,recent_gap_days,recent_30d_count,dragon_score,score_fund,score_persist,score_pattern,score_cap,score_decay,current_stage
002033.SZ,丽江股份,1,2024-02-02,2024-02-02,833,0.6438220383236647,0.6438220383236647,1.0,92313077.01,92313077.01,143382909.43,3.0,3.0,0.0,10.061,10.061,4928837200.0,8.97,景点及旅游+酒店+年报预增,1.0,日涨幅偏离值达7%的证券,0.0,0,0,0,37.0,18.9,7.1,15.0,6.0,-10.0,🔴 首次上榜
000795.SZ,英洛华,6,2024-11-01,2025-04-07,403,0.3205656569979591,0.5575226369249519,1.0,616086229.24,88012318.46285714,2583780924.3600006,24.428571428571427,6.0,0.43,7.975719886428572,10.040160643,12141756700.0,10.71,稀土永磁+机器人+健康器材,0.8571428571428571,日振幅值达15%的证券,31.4,82,82,0,37.0,15.0,15.0,14.3,2.7,-10.0,⚫ 已冷却
002766.SZ,索菱股份,3,2024-06-20,2024-12-10,521,0.348155942323547,0.4585243626666737,1.0,114566068.35000001,38188689.45,358677355.23,18.666666666666668,13.0,0.67,10.013104382,10.05,6328869000.0,7.45,地平线合作+车联网+无人驾驶+CID系统,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",86.5,172,172,0,37.0,12.7,14.3,15.0,5.0,-10.0,⚫ 已冷却
603859.SH,能科科技,2,2024-11-04,2024-12-09,522,0.3506003541691628,0.3846614718480582,1.0,236465847.05,118232923.525,705635218.05,23.5,23.0,1.0,9.989825954,9.997319753,10042393600.0,41.04,AI Agent+军工信息化+数字化解决方案,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",35.0,35,35,0,37.0,13.7,15.0,15.0,3.3,-10.0,⚫ 已冷却
003007.SZ,直真科技,3,2024-01-31,2025-03-21,420,0.3712598168966233,0.5482569602869901,1.0,88728181.3,29576060.433333334,256526293.8,14.666666666666666,5.0,0.33,10.004048090666666,10.014144272,2873749800.0,38.89,华为昇腾+算力调度,0.6666666666666666,日振幅值达15%的证券,207.5,414,414,0,37.0,13.2,12.3,13.3,8.2,-10.0,⚫ 已冷却
600268.SH,国电南自,2,2024-05-27,2026-03-09,67,0.6021531574447977,0.6265818438020424,1.0,306562911.52,153281455.76,498768607.0,8.0,7.0,0.0,10.031335016835019,10.033670033670036,16516985000.0,16.34,虚拟电厂+AI电力+电网设备+央企,1.0,日涨幅偏离值达7%的证券,651.0,651,651,0,37.0,21.2,9.0,15.0,1.9,-10.0,⚫ 已冷却
600467.SH,好当家,4,2024-09-10,2025-03-17,424,0.3617076283513484,0.4085507001035881,1.0,109151131.36,21830226.272,298138140.21999997,20.0,8.0,0.2,10.1490551854,10.23255814,3681705600.0,2.52,海水养殖+白酒+低价股,1.0,日涨幅偏离值达7%的证券,62.7,130,130,0,37.0,12.4,12.4,15.0,7.2,-10.0,⚫ 已冷却
002362.SZ,汉王科技,2,2024-02-20,2024-12-09,522,0.34702235909629175,0.5009584175934236,1.0,291019198.63,97006399.54333334,990022003.98,24.333333333333332,16.0,0.67,10.010791711333333,10.011,6410500600.0,30.88,AI Agent+AI终端,1.0,日换手率达20%的证券;日涨幅偏离值达7%的证券,293.0,293,293,0,37.0,14.0,13.0,15.0,4.9,-10.0,⚫ 已冷却
600571.SH,信雅达,10,2024-02-20,2025-04-22,388,0.30045791728114113,0.6393416142400329,1.0,597027670.9399999,59702767.094,1893016005.54,24.2,2.0,0.4,4.618733869800001,10.059,8083895100.0,17.66,跨境支付+金融科技+AI智能体+此前因Pika大涨,0.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",47.4,188,20,0,37.0,14.7,15.8,12.5,4.0,-10.0,⚫ 已冷却
002686.SZ,亿利达,1,2025-03-27,2025-03-27,414,0.4640214851730289,0.4640214851730289,1.0,24970958.0,24970958.0,53814228.0,14.0,14.0,1.0,10.028248588,10.028248588,4072087000.0,7.79,深海功能材料+空调风机+高压快充+浙江国资,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,37.0,12.2,13.1,15.0,6.8,-10.0,🔴 首次上榜
002114.SZ,罗平锌电,1,2025-03-10,2025-03-10,431,0.3329415802668766,0.3329415802668766,1.0,28372998.47,28372998.47,85219150.0,14.0,14.0,1.0,9.971910112,9.971910112,2532150100.0,7.83,锗+可用于固态电池+国企,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,37.0,10.4,13.1,15.0,8.5,-10.0,🔴 首次上榜
002654.SZ,万润科技,8,2024-02-20,2024-10-30,562,0.35062508252620056,0.7005051815561263,1.0,589111050.0799999,65456783.342222214,2042853071.6000001,24.666666666666668,2.0,0.44,9.866196340666667,10.043,15222818000.0,18.01,深圳+控股股东战投长江存储+存储芯片,0.7777777777777778,日换手率达20%的证券,36.1,135,1,0,37.0,15.3,15.7,13.9,2.1,-10.0,⚫ 已冷却
603878.SH,武进不锈,1,2026-01-23,2026-01-23,112,0.670586036913111,0.670586036913111,1.0,76491192.95,76491192.95,114066187.99,2.0,2.0,0.0,10.04901960784314,10.04901960784314,5039014800.0,8.98,不锈钢管+核电+光热发电,1.0,日涨幅偏离值达7%的证券,0.0,0,0,0,36.9,18.9,7.1,15.0,5.9,-10.0,🔴 首次上榜
002912.SZ,中新赛克,2,2024-10-29,2024-10-31,561,0.3641028329054393,0.466025690602398,1.0,82805448.6,41402724.3,201351853.2,22.5,14.0,1.0,10.014455469,10.016750419,5327370800.0,32.84,深圳国资+网络可视化+数据提取+数据安全,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",2.0,2,2,0,36.9,11.2,15.0,15.0,5.7,-10.0,⚫ 已冷却
605169.SH,洪通燃气,1,2024-08-28,2024-08-28,625,0.6370093219631027,0.6370093219631027,1.0,10778817.13,10778817.13,16920972.36,2.0,2.0,0.0,10.026,10.026,1133176590.0,8.56,半年报增长+天然气+西部大开发,1.0,日涨幅偏离值达7%的证券,0.0,0,0,0,36.9,15.1,7.1,15.0,9.7,-10.0,🔴 首次上榜
600691.SH,潞化科技,2,2026-03-12,2026-03-13,63,0.4218697288832231,0.4420822503678598,1.0,185561112.62,92780556.31,438142238.44,11.0,11.0,0.5,10.017423965070707,10.109289617486342,10523845800.0,4.43,氢能装备+煤化工+山西国资,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",1.0,1,1,0,36.9,16.9,12.0,15.0,3.1,-10.0,⚫ 已冷却
600613.SH,神奇制药,3,2024-02-20,2024-10-25,567,0.45415447415794613,0.6665338612380627,1.0,64808271.9,16202067.975,128830739.42,26.5,6.0,0.5,10.072102488,10.076335878,3561347400.0,7.43,止咳药+抗肿瘤药+医药商业,1.0,日涨幅偏离值达7%的证券,124.0,245,3,0,36.9,11.3,13.3,15.0,7.3,-10.0,⚫ 已冷却
002341.SZ,新纶新材,1,2024-04-09,2024-04-09,766,0.6642627112311137,0.6642627112311137,1.0,62361082.91,62361082.91,93880149.91,2.0,2.0,0.0,9.972,9.972,4442005300.0,3.86,固态电池+折叠屏+AI手机,1.0,日涨幅偏离值达7%的证券,0.0,0,0,0,36.9,18.4,7.1,15.0,6.4,-10.0,🔴 首次上榜
600855.SH,航天长峰,6,2024-04-22,2025-05-13,367,0.36000871948719665,0.5898390548517932,1.0,159288521.9,26548086.983333334,525825276.27,17.166666666666668,7.0,0.33,5.992387601333333,10.065,6341194700.0,13.56,军工电子+低空经济+医疗装备+央企,0.6666666666666666,日跌幅偏离值达7%的证券,77.2,279,1,0,36.9,14.2,14.4,13.3,5.0,-10.0,⚫ 已冷却
600186.SH,莲花控股,7,2024-01-19,2026-04-30,15,0.2637403716816069,0.4544074780515802,1.0,633607013.22,79200876.6525,3116347057.82,27.875,6.0,0.12,8.676507951501016,10.108,19179562479.52,10.72,算力租赁+调味品,0.625,日换手率达20%的证券,138.7,406,37,1,36.9,13.7,13.5,8.1,1.6,0.0,🟡 洗盘观察期
000888.SZ,峨眉山A,4,2024-04-09,2024-04-22,753,0.17182444089530652,0.2455385352786034,1.0,80409918.75,20102479.6875,448322480.56,27.75,20.0,0.0,6.884250000000001,10.041,7318823000.0,13.89,四川旅游+国企+业绩增长,0.75,日振幅值达15%的证券,4.3,10,10,0,36.8,7.4,11.2,23.8,4.4,-10.0,⚫ 已冷却
603528.SH,多伦科技,5,2024-02-19,2024-12-06,525,0.33952811327473026,0.4975645630932336,1.0,95878511.87,19175702.374,349075360.13,14.6,8.0,0.4,9.4508108108,10.105,7186368700.0,10.18,新能源车检+智慧驾培+华为鸿蒙+充电站,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",72.8,102,102,0,36.8,13.0,14.3,15.0,4.5,-10.0,⚫ 已冷却
603648.SH,畅联股份,2,2024-01-25,2024-01-29,837,0.327246607082121,0.3892283915951672,1.0,47782701.0,23891350.5,157189750.0,15.5,10.0,1.0,10.002500000000001,10.029,4954183000.0,13.67,上海国资+供应链管理+统一大市场+机器人,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",4.0,4,4,0,36.8,10.9,15.0,15.0,6.0,-10.0,⚫ 已冷却
001216.SZ,华瓷股份,5,2024-01-18,2024-04-03,772,0.4007824953247748,0.870561935987102,1.0,89397428.36,17879485.672,198174679.5,18.4,1.0,0.2,3.3796397860000007,10.0,937574163.0,14.89,陶瓷+外销+参股银行+华字辈,0.2,日换手率达20%的证券,19.0,55,2,0,36.8,12.8,13.1,11.0,9.9,-10.0,⚫ 已冷却
603120.SH,肯特催化,3,2025-04-16,2026-05-15,0,0.2569971798402138,0.4414134175038553,1.0,74696692.87,24898897.623333335,308573474.77,25.333333333333332,10.0,0.33,77.61689258428231,226.0,2019691000.0,53.29,,0.3333333333333333,"连续三个交易日内,涨幅偏离值累计达20%的证券",197.0,293,101,1,36.8,8.9,12.3,6.7,9.0,0.0,🟢 二次启动信号
003002.SZ,壶化股份,2,2024-10-09,2024-10-10,582,0.47158333061353697,0.5378701316872663,1.0,69328469.19,34664234.595,152432561.68,9.5,6.0,0.5,6.4745359350000005,7.583474816,3662976200.0,20.03,,0.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",1.0,1,1,0,36.8,15.1,12.0,12.5,7.2,-10.0,⚫ 已冷却
603306.SH,华懋科技,3,2024-09-02,2026-04-10,35,0.3031099745187572,0.3683947777851793,1.0,106406024.44999999,53203012.224999994,412085808.25,26.0,12.0,0.33,8.302430575587195,10.012714558,33542575000.0,101.8,增加回购规模+汽车零部件+机器人,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",292.5,476,476,0,36.8,10.4,12.3,15.0,0.9,-1.7,⚫ 已冷却
002979.SZ,雷赛智能,4,2024-07-04,2025-03-14,427,0.31702834031081395,0.4960426325111912,1.0,310718405.65999997,77679601.41499999,1213010092.37,20.5,8.0,0.5,10.004057965249999,10.011,10748918000.0,49.59,人形机器人+运动控制产品+华为,1.0,日涨幅偏离值达7%的证券,84.3,123,21,0,36.8,14.5,14.2,15.0,3.0,-10.0,⚫ 已冷却
